vehicle_id,bus_stop_name,direction,expected_arrival,time_of_req,arrived
14523_490005528Y_2020-03-29_out_0,The Design Museum,out,2020-03-29 16:31:27,2020-03-29 16:31:29,True
14552_490008652C_2020-03-29_in_0,Kensington Olympia Station,in,2020-03-29 16:32:51,2020-03-29 16:32:44,True
15582_490010574C_2020-03-29_out_0,Old Park Lane / Hard Rock Cafe,out,2020-03-29 16:35:24,2020-03-29 16:31:27,True
14523_490005528Y_2020-03-29_out_0,The Design Museum,out,2020-03-29 16:31:27,2020-03-29 16:31:29,True
14552_490004455BB_2020-03-29_in_0,Brook Green,in,2020-03-29 16:35:07,2020-03-29 16:31:31,True
15582_490000119T_2020-03-29_out_0,Hyde Park Corner Station,out,2020-03-29 16:34:14,2020-03-29 16:32:51,True
14552_490010357F_2020-03-29_in_0,North End Road,in,2020-03-29 16:33:41,2020-03-29 16:33:24,True
14523_490G00011761_2020-03-29_out_0,Kensington Palace,out,2020-03-29 16:33:53,2020-03-29 16:32:54,True
14523_490000110F_2020-03-29_out_0,High Street Kensington Station,out,2020-03-29 16:33:16,2020-03-29 16:31:43,True
14523_490010728E_2020-03-29_out_0,Palace Gate,out,2020-03-29 16:34:42,2020-03-29 16:32:56,True
14552_490008990Q_2020-03-29_in_0,Latymer Court,in,2020-03-29 16:35:30,2020-03-29 16:31:44,True
14523_490010984T_2020-03-29_out_0,Phillimore Gardens,out,2020-03-29 16:32:33,2020-03-29 16:31:51,True
14552_490003106E_2020-03-29_in_0,Warwick Gardens,in,2020-03-29 16:32:13,2020-03-29 16:31:54,True
15582_490000130KE_2020-03-29_out_0,Knightsbridge Station / Harrods,out,2020-03-29 16:32:01,2020-03-29 16:31:56,True
14576_490000130KE_2020-03-29_in_0,Knightsbridge Station  / Harrods,in,2020-03-29 16:45:31,2020-03-29 16:43:39,True
14468_490005528Y_2020-03-29_out_0,The Design Museum,out,2020-03-29 16:45:27,2020-03-29 16:45:09,True
14468_490003106E_2020-03-29_out_0,Warwick Gardens,out,2020-03-29 16:44:43,2020-03-29 16:44:44,True
15582_490G00007492_2020-03-29_in_0,Green Park / Constitution Hill,in,2020-03-29 16:43:43,2020-03-29 16:43:46,True
14468_490008287E_2020-03-29_out_0,Holland Road,out,2020-03-29 16:43:44,2020-03-29 16:43:48,True
14576_490000119T_2020-03-29_in_0,Hyde Park Corner Station,in,2020-03-29 16:43:34,2020-03-29 16:43:49,True
14523_490000093PE_2020-03-29_out_0,Green Park Station,out,2020-03-29 16:45:05,2020-03-29 16:43:52,True
15582_490006691W_2020-03-29_in_0,Exhibition Road,in,2020-03-29 16:51:28,2020-03-29 16:51:42,True
14576_490000110F_2020-03-29_in_0,High Street Kensington Station,in,2020-03-29 16:52:36,2020-03-29 16:52:38,True
15582_490011750W_2020-03-29_in_0,Royal Albert Hall,in,2020-03-29 16:52:28,2020-03-29 16:52:13,True
15456_490G00011761_2020-03-29_out_0,Kensington Palace,out,2020-03-29 16:53:08,2020-03-29 16:52:46,True
14576_490010984T_2020-03-29_in_0,Phillimore Gardens,in,2020-03-29 16:53:40,2020-03-29 16:51:50,True
15456_490010728E_2020-03-29_out_0,Palace Gate,out,2020-03-29 16:53:34,2020-03-29 16:53:22,True
15456_490G00019923_2020-03-29_out_0,Queen's Gate,out,2020-03-29 16:54:17,2020-03-29 16:53:27,True
14468_490011822E_2020-03-29_out_0,Rutland Gardens,out,2020-03-29 16:52:25,2020-03-29 16:51:55,True
14576_490005528Y_2020-03-29_in_0,The Design Museum,in,2020-03-29 16:54:24,2020-03-29 16:51:56,True
15582_490010728E_2020-03-29_in_0,Palace Gate,in,2020-03-29 16:53:01,2020-03-29 16:52:31,True
14468_490000130KE_2020-03-29_out_0,Knightsbridge Station  / Harrods,out,2020-03-29 16:52:49,2020-03-29 16:52:32,True
15582_490G00011761_2020-03-29_in_0,Kensington Palace,in,2020-03-29 16:53:45,2020-03-29 16:53:49,True
14510_490010357F_2020-03-29_out_0,North End Road,out,2020-03-29 16:56:50,2020-03-29 16:51:34,True
14510_490004455BB_2020-03-29_out_0,Brook Green,out,2020-03-29 16:56:25,2020-03-29 16:51:34,True
14576_490008652C_2020-03-29_in_0,Kensington Olympia Station,in,2020-03-29 16:56:22,2020-03-29 16:52:36,True
14468_490010574C_2020-03-29_out_0,Old Park Lane / Hard Rock Cafe,out,2020-03-29 16:56:20,2020-03-29 16:53:09,True
15582_490000110F_2020-03-29_in_0,High Street Kensington Station,in,2020-03-29 16:55:06,2020-03-29 16:52:38,True
14576_490004455BB_2020-03-29_in_0,Brook Green,in,2020-03-29 16:57:31,2020-03-29 16:51:43,True
14468_490000119T_2020-03-29_out_0,Hyde Park Corner Station,out,2020-03-29 16:54:58,2020-03-29 16:53:17,True
14576_490010357F_2020-03-29_in_0,North End Road,in,2020-03-29 16:57:15,2020-03-29 16:52:45,True
15582_490010984T_2020-03-29_in_0,Phillimore Gardens,in,2020-03-29 16:56:20,2020-03-29 16:53:21,True
14576_490008990Q_2020-03-29_in_0,Latymer Court,in,2020-03-29 16:57:46,2020-03-29 16:51:51,True
14468_490000093PE_2020-03-29_out_0,Green Park Station,out,2020-03-29 16:57:37,2020-03-29 16:53:26,True
15456_490011198W_2020-03-29_out_0,Prince Of Wales Gate,out,2020-03-29 16:56:58,2020-03-29 16:51:53,True
14510_490007705F_2020-03-29_out_0,Hammersmith Bus Station,out,2020-03-29 16:55:10,2020-03-29 16:51:54,True
15456_490011822E_2020-03-29_out_0,Rutland Gardens,out,2020-03-29 16:57:50,2020-03-29 16:53:32,True
15582_490005528Y_2020-03-29_in_0,The Design Museum,in,2020-03-29 16:57:04,2020-03-29 16:53:34,True
15456_490011750W_2020-03-29_out_0,Royal Albert Hall,out,2020-03-29 16:55:14,2020-03-29 16:53:35,True
14468_490010526G_2020-03-29_out_0,Old Bond Street / Royal Academy,out,2020-03-29 16:58:27,2020-03-29 16:53:36,True
14510_490008990Q_2020-03-29_out_0,Latymer Court,out,2020-03-29 16:55:46,2020-03-29 16:52:00,True
14576_490003106E_2020-03-29_in_0,Warwick Gardens,in,2020-03-29 16:55:29,2020-03-29 16:52:30,True
15582_490003106E_2020-03-29_in_0,Warwick Gardens,in,2020-03-29 16:57:47,2020-03-29 16:53:43,True
14510_490008652C_2020-03-29_out_0,Kensington Olympia Station,out,2020-03-29 16:57:34,2020-03-29 16:52:02,True
