vehicle_id,bus_stop_name,direction,expected_arrival,time_of_req,arrived
15561_490011198W_2020-03-29_in_0,Prince Of Wales Gate,in,2020-03-29 16:19:36,2020-03-29 16:19:33.050000,False
15561_490008652C_2020-03-29_in_0,Kensington Olympia Station,in,2020-03-29 16:28:57,2020-03-29 16:19:05,False
14576_490010574C_2020-03-29_out_0,Old Park Lane / Hard Rock Cafe,out,2020-03-29 16:27:56,2020-03-29 16:19:05,False
15561_490000110F_2020-03-29_in_0,High Street Kensington Station,in,2020-03-29 16:25:06,2020-03-29 16:19:07,False
15561_490006691W_2020-03-29_in_0,Exhibition Road,in,2020-03-29 16:20:39,2020-03-29 16:19:09,False
15561_490004455BB_2020-03-29_in_0,Brook Green,in,2020-03-29 16:31:09,2020-03-29 16:19:10,False
15561_490011750W_2020-03-29_in_0,Royal Albert Hall,in,2020-03-29 16:22:05,2020-03-29 16:19:10,False
14576_490000119T_2020-03-29_out_0,Hyde Park Corner Station,out,2020-03-29 16:26:22,2020-03-29 16:19:12,False
15561_490010357F_2020-03-29_in_0,North End Road,in,2020-03-29 16:29:45,2020-03-29 16:19:14,False
15582_490G00011761_2020-03-29_out_0,Kensington Palace,out,2020-03-29 16:26:29,2020-03-29 16:19:15,False
15582_490008287E_2020-03-29_out_0,Holland Road,out,2020-03-29 16:21:56,2020-03-29 16:19:16,False
15561_490010984T_2020-03-29_in_0,Phillimore Gardens,in,2020-03-29 16:26:27,2020-03-29 16:19:17,False
15582_490000110F_2020-03-29_out_0,High Street Kensington Station,out,2020-03-29 16:24:37,2020-03-29 16:19:17,False
14576_490010728E_2020-03-29_out_0,Palace Gate,out,2020-03-29 16:19:03,2020-03-29 16:19:17,False
15582_490010728E_2020-03-29_out_0,Palace Gate,out,2020-03-29 16:27:09,2020-03-29 16:19:17,False
15364_490007705F_2020-03-29_in_0,Hammersmith Bus Station,in,2020-03-29 16:21:26,2020-03-29 16:19:18,False
15561_490007705F_2020-03-29_in_0,Hammersmith Bus Station,in,2020-03-29 16:34:09,2020-03-29 16:19:18,False
15561_490008990Q_2020-03-29_in_0,Latymer Court,in,2020-03-29 16:31:33,2020-03-29 16:19:18,False
15582_490000093PE_2020-03-29_out_0,Green Park Station,out,2020-03-29 16:37:10,2020-03-29 16:19:19,False
14576_490011198W_2020-03-29_out_0,Prince Of Wales Gate,out,2020-03-29 16:22:53,2020-03-29 16:19:20,False
15582_490011198W_2020-03-29_out_0,Prince Of Wales Gate,out,2020-03-29 16:30:56,2020-03-29 16:19:20,False
14576_490G00019923_2020-03-29_out_0,Queen's Gate,out,2020-03-29 16:20:05,2020-03-29 16:19:20,False
15582_490G00019923_2020-03-29_out_0,Queen's Gate,out,2020-03-29 16:28:26,2020-03-29 16:19:20,False
15582_490000179B_2020-03-29_out_0,Piccadilly Circus,out,2020-03-29 16:39:15,2020-03-29 16:19:20,False
14576_490011822E_2020-03-29_out_0,Rutland Gardens,out,2020-03-29 16:23:38,2020-03-29 16:19:22,False
15582_490011822E_2020-03-29_out_0,Rutland Gardens,out,2020-03-29 16:31:38,2020-03-29 16:19:22,False
15561_490005528Y_2020-03-29_in_0,The Design Museum,in,2020-03-29 16:27:11,2020-03-29 16:19:23,False
14576_490011750W_2020-03-29_out_0,Royal Albert Hall,out,2020-03-29 16:21:13,2020-03-29 16:19:24,False
15582_490011750W_2020-03-29_out_0,Royal Albert Hall,out,2020-03-29 16:29:24,2020-03-29 16:19:24,False
15582_490010526G_2020-03-29_out_0,Old Bond Street / Royal Academy,out,2020-03-29 16:38:20,2020-03-29 16:19:24,False
15364_490007704QA_2020-03-29_in_0,Hammersmith Broadway,in,2020-03-29 16:19:37,2020-03-29 16:19:25,False
15561_490007704QA_2020-03-29_in_0,Hammersmith Broadway,in,2020-03-29 16:32:45,2020-03-29 16:19:25,False
15582_490010984T_2020-03-29_out_0,Phillimore Gardens,out,2020-03-29 16:23:58,2020-03-29 16:19:25,False
15561_490003106E_2020-03-29_in_0,Warwick Gardens,in,2020-03-29 16:28:02,2020-03-29 16:19:28,False
15561_490010728E_2020-03-29_in_0,Palace Gate,in,2020-03-29 16:22:57,2020-03-29 16:19:28,False
15582_490008652C_2020-03-29_out_0,Kensington Olympia Station,out,2020-03-29 16:20:36,2020-03-29 16:19:29,False
14576_490000130KE_2020-03-29_out_0,Knightsbridge Station  / Harrods,out,2020-03-29 16:23:10,2020-03-29 16:19:59.022000,False
15582_490000130KE_2020-03-29_out_0,Knightsbridge Station  / Harrods,out,2020-03-29 16:32:16,2020-03-29 16:19:30,False
15561_490G00011761_2020-03-29_in_0,Kensington Palace,in,2020-03-29 16:24:03,2020-03-29 16:19:31,False
15582_490010357F_2020-03-29_out_0,North End Road,out,2020-03-29 16:19:56,2020-03-29 16:19:32.666000,False
15582_490004455BB_2020-03-29_out_0,Brook Green,out,2020-03-29 16:19:34,2020-03-29 16:19:33.439000,False
15582_490010574C_2020-03-29_out_0,Old Park Lane / Hard Rock Cafe,out,2020-03-29 16:35:54,2020-03-29 16:19:34.963000,False
15582_490005528Y_2020-03-29_out_0,The Design Museum,out,2020-03-29 16:23:11,2020-03-29 16:19:36.871000,False
15582_490007960R_2020-03-29_out_0,Haymarket / Jermyn Street,out,2020-03-29 16:40:42,2020-03-29 16:19:40.688000,False
15582_490000119T_2020-03-29_out_0,Hyde Park Corner Station,out,2020-03-29 16:34:15,2020-03-29 16:19:41.449000,False
15582_490003106E_2020-03-29_out_0,Warwick Gardens,out,2020-03-29 16:22:32,2020-03-29 16:19:41.838000,False
