vehicle_id,bus_stop_name,expected_arrival,time_of_req,direction,arrived
16440_490000097T_2020-04-16_out_0,Hammersmith Stn / H&C and Circle Lines,2020-04-16 12:23:39,2020-04-16 12:23:38,out,1
16450_490013765N_2020-04-16_in_0,Trafalgar Road / Prince Of Wales,2020-04-16 12:24:33,2020-04-16 12:23:47,in,1
16443_490008007T_2020-04-16_out_0,Heath Road / Twickenham,2020-04-16 12:24:06,2020-04-16 12:23:51,out,1
16439_490G00013181_2020-04-16_in_0,Teesdale Gardens,2020-04-16 12:23:58,2020-04-16 12:23:54,in,1
16439_490014493N_2020-04-16_in_0,Twickenham Rd / West Middlesex Hospital,2020-04-16 12:24:36,2020-04-16 12:24:38,in,1
16439_490008512TH_2020-04-16_in_0,Isleworth War Memorial,2020-04-16 12:26:05,2020-04-16 12:23:43,in,1
16443_490013870E_2020-04-16_out_0,London Road / Twickenham,2020-04-16 12:25:59,2020-04-16 12:26:27,out,1
16768_490001167S_2020-04-16_in_0,Kew Bridge Station,2020-04-16 12:28:37,2020-04-16 12:28:46,in,1
16442_490014493N_2020-04-16_out_0,Twickenham Rd / West Middlesex Hospital,2020-04-16 12:25:16,2020-04-16 12:25:11,out,1
16439_490014954TM_2020-04-16_in_0,Isleworth Library,2020-04-16 12:26:50,2020-04-16 12:26:37,in,1
16437_490G00094B_2020-04-16_out_0,Gunnersbury Station,2020-04-16 12:25:00,2020-04-16 12:25:19,out,1
16436_490015027F_2020-04-16_in_0,Ravenscourt Park,2020-04-16 12:28:55,2020-04-16 12:25:21,in,1
16437_490005211E_2020-04-16_out_0,Chiswick Road,2020-04-16 12:26:18,2020-04-16 12:24:58,out,1
16442_490004635TD_2020-04-16_out_0,Park Road,2020-04-16 12:26:18,2020-04-16 12:24:03,out,1
16442_490015029E_2020-04-16_out_0,Busch Corner,2020-04-16 12:27:36,2020-04-16 12:26:47,out,1
16439_490003580N_2020-04-16_in_0,Lynton Close,2020-04-16 12:29:10,2020-04-16 12:29:08,in,1
16439_490004260S_2020-04-16_in_0,Brantwood Avenue,2020-04-16 12:27:30,2020-04-16 12:25:30,in,1
16440_490007705F_2020-04-16_out_0,Hammersmith Bus Station,2020-04-16 12:25:49,2020-04-16 12:24:13,out,1
16450_490G00007064_2020-04-16_in_0,Fulwell / Sixth Cross Road,2020-04-16 12:25:42,2020-04-16 12:24:24,in,1
16450_490012333E_2020-04-16_in_0,South Road / Fulwell,2020-04-16 12:26:32,2020-04-16 12:24:29,in,1
16437_490010687K_2020-04-16_out_0,Thorney Hedge Road,2020-04-16 12:25:49,2020-04-16 12:24:29,out,1
16436_490011438E_2020-04-16_in_0,Ravenscourt Park Station,2020-04-16 12:27:39,2020-04-16 12:25:50,in,1
16442_490013141W_2020-04-16_out_0,Syon Lane,2020-04-16 12:29:03,2020-04-16 12:27:23,out,1
16439_490G00009538_2020-04-16_in_0,Mandeville Road,2020-04-16 12:25:26,2020-04-16 12:24:40,in,1
16436_490008801P_2020-04-16_in_0,Kings Mall Shopping Centre,2020-04-16 12:25:51,2020-04-16 12:26:03,in,1
16437_490000048CV_2020-04-16_out_0,Turnham Green Church,2020-04-16 12:27:33,2020-04-16 12:27:27,out,1
16443_490013861B_2020-04-16_out_0,Twickenham Station,2020-04-16 12:27:12,2020-04-16 12:27:28,out,1
16436_490G00007711_2020-04-16_in_0,Hammersmith Town Hall,2020-04-16 12:26:59,2020-04-16 12:26:05,in,1
