arrived,bus_stop_name,expected_arrival,vehicle_id,time_of_req,direction
True,Chesterton Road,2020-04-02 17:08:12,19399_490005139C_2020-04-02_out_4,2020-04-02 16:38:43,out
True,Portobello and Golborne Market,2020-03-31 08:31:24,10267_490G00003399_2020-03-31_out_1,2020-03-31 08:20:12,out
True,Okehampton Road,2020-03-27 08:12:04,19673_490010521N_2020-03-27_out_0,2020-03-27 08:11:14,out
True,York House Place / Kensington High St,2020-04-06 04:58:25,11530_490010536K_2020-04-06_out_0,2020-04-06 04:56:29,out
True,Portobello and Golborne Market,2020-03-11 11:10:34,19405_490G00003399_2020-03-11_out_0,2020-03-11 10:44:37,out
True,Wilton Street,2020-03-25 15:36:29,10621_490014728S_2020-03-25_in_0,2020-03-25 15:35:17,in
True,All Souls Avenue,2020-04-05 16:04:21,10292_490003256N_2020-04-05_out_0,2020-04-05 16:02:45,out
True,Knightsbridge Station  / Harrods,2020-04-02 05:34:32,12064_490000130KE_2020-04-02_out_0,2020-04-02 05:34:45,out
True,Chesterton Road,2020-03-11 11:21:29,10542_490005139C_2020-03-11_in_0,2020-03-11 10:51:46,in
True,Okehampton Road,2020-04-02 12:13:23,19643_490010521N_2020-04-02_in_3,2020-04-02 12:12:43,in
True,Hanover Road,2020-04-01 17:46:00,19417_490012147E_2020-04-01_out_2,2020-04-01 17:40:41,out
True,Exhibition Road,2020-03-11 10:58:29,10542_490006691W_2020-03-11_in_0,2020-03-11 10:51:09,in
True,Royal Albert Hall,2020-03-25 14:56:40,19418_490011750W_2020-03-25_in_0,2020-03-25 14:52:10,in
True,Ladbroke Grove Sainsbury's,2020-04-01 20:36:14,19665_490G00008897_2020-04-01_in_3,2020-04-01 20:36:11,in
True,Blenheim Crescent,2020-03-30 06:57:06,11533_490004099N_2020-03-30_in_0,2020-03-30 06:48:42,in
True,Palace Gate,2020-03-11 10:32:49,10268_490G00010728_2020-03-11_in_0,2020-03-11 10:26:41,in
True,Ladbroke Grove Station,2020-03-28 07:30:37,19674_490000131A_2020-03-28_in_0,2020-03-28 07:09:11,in
True,Portobello and Golborne Market,2020-04-06 05:44:35,10626_490G00003399_2020-04-06_out_0,2020-04-06 05:14:54,out
True,Blenheim Crescent,2020-03-31 07:05:53,11581_490004099N_2020-03-31_in_0,2020-03-31 07:05:42,in
True,Hyde Park Corner,2020-04-05 18:15:26,19671_490G00119S_2020-04-05_in_1,2020-04-05 17:46:47,in
True,Ladbroke Grove Sainsbury's,2020-03-28 07:15:17,19669_490G00008897_2020-03-28_out_0,2020-03-28 07:14:41,out
True,Hyde Park Corner Station,2020-04-02 21:41:29,10561_490000119M_2020-04-02_out_0,2020-04-02 21:33:35,out
True,Ladbroke Grove Sainsbury's,2020-03-30 05:30:46,19678_490G00008897_2020-03-30_out_0,2020-03-30 05:21:09,out
True,Kensal Rise Station,2020-04-06 09:04:00,10542_490001161S1_2020-04-06_out_0,2020-04-06 09:03:05,out
True,Notting Hill Gate Station,2020-04-01 18:02:53,10509_490000167G_2020-04-01_in_2,2020-04-01 18:00:13,in
True,Portobello and Golborne Market,2020-04-01 13:31:48,11473_490G00003399_2020-04-01_out_1,2020-04-01 13:18:12,out
True,Queen's Gate,2020-04-02 09:57:36,10542_490G00019923_2020-04-02_out_3,2020-04-02 09:54:45,out
True,Okehampton Road,2020-04-01 19:46:23,11546_490010521N_2020-04-01_out_1,2020-04-01 19:21:12,out
True,Victoria Bus Station,2020-03-18 18:07:29,11581_490014050C_2020-03-18_out_0,2020-03-18 18:07:11,out
True,Okehampton Road,2020-04-02 05:51:35,19643_490010521N_2020-04-02_in_0,2020-04-02 05:51:15,in
True,Chesterton Road,2020-04-01 12:28:36,19665_490005139C_2020-04-01_in_0,2020-04-01 12:25:10,in
True,St Charles Square,2020-04-02 12:59:39,10274_490008898F_2020-04-02_out_4,2020-04-02 12:54:43,out
True,Buckingham Palace Rd / Bressenden Place,2020-04-01 23:15:10,12064_490004555P_2020-04-01_out_4,2020-04-01 23:12:13,out
True,York House Place / Kensington High St,2020-04-02 16:51:41,11477_490010536K_2020-04-02_out_3,2020-04-02 16:51:14,out
True,Whitmore Gardens,2020-04-03 03:38:44,11477_490014619S_2020-04-03_out_0,2020-04-03 03:38:43,out
True,Hyde Park Corner Station,2020-04-02 12:21:05,12064_490000119M_2020-04-02_in_2,2020-04-02 12:17:16,in
True,Grosvenor Gardens,2020-03-27 09:37:24,11533_490007544Q_2020-03-27_in_0,2020-03-27 09:12:42,in
True,Kensal Rise Station,2020-04-02 21:57:05,10274_490001161S1_2020-04-02_out_8,2020-04-02 21:27:35,out
True,Villiers Road,2020-04-01 15:34:18,19674_490G00014088_2020-04-01_out_1,2020-04-01 15:11:12,out
True,Victoria Bus Station,2020-03-31 07:26:19,19674_490014050C_2020-03-31_out_0,2020-03-31 07:18:11,out
True,Kensal House,2020-03-11 10:56:20,10632_490004737S_2020-03-11_out_0,2020-03-11 10:38:52,out
True,Ladbroke Road,2020-03-11 11:10:59,10542_490G00019160_2020-03-11_in_0,2020-03-11 10:44:05,in
True,Ladbroke Grove Sainsbury's,2020-03-27 10:08:22,10799_490G00008897_2020-03-27_out_0,2020-03-27 09:40:20,out
True,Ladbroke Grove Station,2020-03-27 08:34:18,19417_490000131A_2020-03-27_out_0,2020-03-27 08:11:11,out
True,Prince Of Wales Gate,2020-04-02 21:01:51,12064_490011198W_2020-04-02_out_7,2020-04-02 21:00:36,out
True,All Souls Avenue,2020-04-06 04:57:59,10581_490003256N_2020-04-06_in_0,2020-04-06 04:56:30,in
True,Willesden Bus Garage,2020-04-02 06:11:20,10274_490014687E_2020-04-02_out_1,2020-04-02 06:09:15,out
True,Kensal House,2020-04-02 07:53:42,19670_490004737S_2020-04-02_out_1,2020-04-02 07:44:44,out
True,Palace Gate,2020-03-29 10:09:56,11486_490G00010728_2020-03-29_in_0,2020-03-29 09:49:06,in
True,Kensington Palace,2020-04-02 09:28:34,11533_490011761M_2020-04-02_out_3,2020-04-02 09:28:44,out
True,Ladbroke Grove Station,2020-04-02 09:06:04,19407_490000131A_2020-04-02_in_2,2020-04-02 08:36:42,in
True,Grosvenor Gardens,2020-04-01 11:39:28,19674_490007544Q_2020-04-01_in_0,2020-04-01 11:27:13,in
True,Queen's Gate,2020-04-02 08:55:36,10621_490G00019923_2020-04-02_out_1,2020-04-02 08:54:44,out
True,Wilton Street,2020-04-06 04:29:49,10445_490014728S_2020-04-06_out_0,2020-04-06 04:30:05,out
True,Kensal House,2020-03-27 09:38:29,19417_490004737S_2020-03-27_in_0,2020-03-27 09:31:44,in
True,Ladbroke Grove Station,2020-04-02 22:31:31,10561_490000131A_2020-04-02_in_0,2020-04-02 22:31:05,in
True,Okehampton Road,2020-04-02 20:23:21,11477_490010521N_2020-04-02_in_4,2020-04-02 20:15:34,in
True,Exhibition Road,2020-04-06 06:17:53,11473_490006691W_2020-04-06_in_1,2020-04-06 05:51:16,in
True,Kensal Rise Station,2020-03-29 10:01:41,10627_490001161S1_2020-03-29_in_0,2020-03-29 09:49:06,in
True,Willesden Bus Garage,2020-04-06 06:21:17,12064_490014687E_2020-04-06_out_2,2020-04-06 05:51:47,out
True,Kensington Palace,2020-04-01 18:55:47,10801_490011761M_2020-04-01_in_2,2020-04-01 18:27:13,in
True,Grosvenor Gardens,2020-04-01 14:28:00,11473_490007544Q_2020-04-01_in_1,2020-04-01 14:27:11,in
True,Kilburn Lane / Harrow Road,2020-04-01 22:58:52,11546_490007860N_2020-04-01_in_2,2020-04-01 22:57:10,in
True,Kensal Rise Station,2020-04-01 20:54:26,19667_490001161S1_2020-04-01_out_0,2020-04-01 20:48:11,out
True,Kensington Church Street / Holland St,2020-04-01 11:00:38,19678_490G00008288_2020-04-01_in_0,2020-04-01 11:00:12,in
True,All Souls Avenue,2020-04-01 23:13:31,19673_490003256N_2020-04-01_in_5,2020-04-01 23:12:43,in
True,Hyde Park Corner Station,2020-04-02 21:13:05,19643_490000119M_2020-04-02_in_8,2020-04-02 21:09:35,in
True,Chesterton Road,2020-04-02 14:45:58,10542_490005139C_2020-04-02_out_5,2020-04-02 14:45:15,out
True,Wilton Street,2020-04-01 15:35:04,10293_490014728S_2020-04-01_in_1,2020-04-01 15:34:13,in
True,Harrow Road / Kilburn Lane,2020-03-11 10:16:40,10628_490007860S_2020-03-11_out_0,2020-03-11 09:49:41,out
True,All Souls Avenue,2020-04-02 19:46:21,11741_490003256N_2020-04-02_out_2,2020-04-02 19:46:08,out
True,Knightsbridge Barracks,2020-03-19 11:11:07,19679_490011822W_2020-03-19_in_0,2020-03-19 10:43:40,in
True,Villiers Road,2020-03-19 11:39:01,11473_490G00014088_2020-03-19_in_0,2020-03-19 11:39:11,in
True,Hanover Road,2020-03-11 10:42:24,11530_490012147E_2020-03-11_out_0,2020-03-11 10:13:35,out
True,St Charles Square,2020-03-31 07:54:06,11740_490008898F_2020-03-31_out_0,2020-03-31 07:24:40,out
True,All Souls Avenue,2020-04-02 08:19:56,19643_490003256N_2020-04-02_out_2,2020-04-02 08:16:45,out
True,Kensal House,2020-04-01 21:21:14,19416_490004737S_2020-04-01_out_0,2020-04-01 21:21:12,out
True,Palace Gardens Terr / Notting Hill Gte,2020-03-28 07:34:24,10267_490000167K_2020-03-28_out_0,2020-03-28 07:09:12,out
True,Ladbroke Road,2020-03-10 11:18:44,19643_490G00019160_2020-03-10_in_0,2020-03-10 10:54:10,in
True,St Charles Square,2020-04-01 11:00:03,19665_490008898F_2020-04-01_out_0,2020-04-01 11:00:10,out
True,Blenheim Crescent,2020-03-27 08:13:12,11483_490004099N_2020-03-27_in_0,2020-03-27 08:12:42,in
True,Palace Gardens Terr / Notting Hill Gte,2020-04-01 21:54:12,11546_490000167K_2020-04-01_out_2,2020-04-01 21:54:11,out
True,Hyde Park Corner,2020-03-28 06:50:10,19672_490G00119S_2020-03-28_in_0,2020-03-28 06:50:11,in
True,Harrow Road / Kilburn Lane,2020-04-06 05:38:05,10626_490007860S_2020-04-06_out_0,2020-04-06 05:14:52,out
True,Victoria Bus Station,2020-04-02 07:23:11,11546_490014050C_2020-04-02_out_0,2020-04-02 07:20:45,out
True,Blenheim Crescent,2020-04-01 19:30:56,19674_490004099N_2020-04-01_in_3,2020-04-01 19:30:12,in
True,Buckingham Palace Rd / Bressenden Place,2020-04-05 16:14:43,10626_490004555P_2020-04-05_out_0,2020-04-05 16:05:17,out
True,York House Place / Kensington High St,2020-04-01 21:20:31,10509_490010536K_2020-04-01_out_5,2020-04-01 21:12:10,out
True,Notting Hill Gate Station,2020-03-10 10:55:33,10299_490000167G_2020-03-10_in_0,2020-03-10 10:55:55,in
True,Okehampton Road,2020-04-02 18:43:10,10542_490010521N_2020-04-02_in_6,2020-04-02 18:42:34,in
True,Prince Of Wales Gate,2020-03-19 12:03:56,10271_490011198W_2020-03-19_out_0,2020-03-19 12:01:41,out
True,Exhibition Road,2020-03-10 11:48:14,10509_490006691W_2020-03-10_in_0,2020-03-10 11:22:58,in
True,Knightsbridge Barracks,2020-03-25 16:01:19,10627_490011822W_2020-03-25_in_0,2020-03-25 15:32:25,in
True,Kensington Palace,2020-03-11 14:57:12,19405_490011761M_2020-03-11_in_0,2020-03-11 14:47:12,in
True,Chesterton Road,2020-03-25 15:34:03,19680_490005139C_2020-03-25_out_0,2020-03-25 15:16:00,out
True,Willesden Bus Garage,2020-03-10 11:19:12,19417_490014687E_2020-03-10_out_0,2020-03-10 10:52:56,out
True,St Charles Square,2020-04-02 09:20:32,10274_490008898F_2020-04-02_in_2,2020-04-02 09:11:16,in
True,Palace Gate,2020-04-01 21:54:33,19667_490G00010728_2020-04-01_in_0,2020-04-01 21:54:13,in
True,Kensal Rise Station,2020-03-30 06:28:32,11740_490001161S1_2020-03-30_out_0,2020-03-30 06:27:10,out
True,Royal Albert Hall,2020-03-18 16:41:52,11808_490011750W_2020-03-18_in_0,2020-03-18 16:41:41,in
True,Station Terrace,2020-04-02 11:28:14,11533_490G00012622_2020-04-02_out_4,2020-04-02 11:19:16,out
True,Notting Hill Gate Station,2020-04-01 12:31:07,12064_490000167G_2020-04-01_in_0,2020-04-01 12:26:40,in
True,Victoria Bus Station,2020-04-05 15:04:52,19671_490014050C_2020-04-05_out_0,2020-04-05 15:01:17,out
True,Hyde Park Corner Station,2020-03-19 11:49:09,10268_490000119M_2020-03-19_in_0,2020-03-19 11:44:42,in
