vehicle_id,bus_stop_id,time_of_arrival,time_of_req,direction
6507_490010161E_2020-05-19_outbound_0,490010161E,2020-05-19 16:56:56,2020-05-19 16:56:13.815,outbound
6234_490005945G_2020-05-19_inbound_0,490005945G,2020-05-19 16:56:04,2020-05-19 16:56:14.3,inbound
6511_490009645W_2020-05-19_inbound_0,490009645W,2020-05-19 16:56:43,2020-05-19 16:56:15.707,inbound
7335_490014483E_2020-05-19_inbound_0,490014483E,2020-05-19 16:56:23,2020-05-19 16:56:16.658,inbound
7442_490007774N_2020-05-19_inbound_0,490007774N,2020-05-19 16:57:38,2020-05-19 16:56:18.205,inbound
6511_490014373LC_2020-05-19_inbound_0,490014373LC,2020-05-19 16:58:18,2020-05-19 16:56:18.689,inbound
6139_490002061N_2020-05-19_outbound_0,490002061N,2020-05-19 16:58:09,2020-05-19 16:56:19.653,outbound
6507_490010160E1_2020-05-19_outbound_0,490010160E1,2020-05-19 16:56:40,2020-05-19 16:56:20.564,outbound
7440_490007626B_2020-05-19_outbound_0,490007626B,2020-05-19 16:56:11,2020-05-19 16:56:21.019,outbound
6890_490003783S_2020-05-19_outbound_0,490003783S,2020-05-19 16:58:31,2020-05-19 16:56:26.309,outbound
6890_490012881S_2020-05-19_outbound_0,490012881S,2020-05-19 16:59:33,2020-05-19 16:56:12.471,outbound
7440_490012881S_2020-05-19_outbound_0,490012881S,2020-05-19 17:14:43,2020-05-19 16:56:12.471,outbound
6507_490012881S_2020-05-19_outbound_0,490012881S,2020-05-19 17:19:51,2020-05-19 16:56:12.471,outbound
6888_490010161E_2020-05-19_outbound_0,490010161E,2020-05-19 17:06:06,2020-05-19 16:56:13.815,outbound
7441_490010161E_2020-05-19_outbound_0,490010161E,2020-05-19 17:16:46,2020-05-19 16:56:13.815,outbound
6511_490005945G_2020-05-19_inbound_0,490005945G,2020-05-19 17:09:25,2020-05-19 16:56:14.3,inbound
5494_490005945G_2020-05-19_inbound_0,490005945G,2020-05-19 17:22:02,2020-05-19 16:56:14.3,inbound
7335_490000146B_2020-05-19_inbound_0,490000146B,2020-05-19 17:06:45,2020-05-19 16:56:14.762,inbound
7442_490000146B_2020-05-19_inbound_0,490000146B,2020-05-19 17:17:39,2020-05-19 16:56:14.762,inbound
5494_490000146B_2020-05-19_inbound_0,490000146B,2020-05-19 16:58:59,2020-05-19 16:56:14.762,inbound
7275_490000038J_2020-05-19_outbound_0,490000038J,2020-05-19 17:04:02,2020-05-19 16:56:15.252,outbound
6890_490000038J_2020-05-19_outbound_0,490000038J,2020-05-19 17:08:10,2020-05-19 16:56:15.252,outbound
7442_490000038J_2020-05-19_inbound_0,490000038J,2020-05-19 17:06:24,2020-05-19 16:56:15.252,inbound
6139_490000038J_2020-05-19_inbound_0,490000038J,2020-05-19 17:17:40,2020-05-19 16:56:15.252,inbound
7440_490000038J_2020-05-19_outbound_0,490000038J,2020-05-19 17:22:43,2020-05-19 16:56:15.252,outbound
7335_490009645W_2020-05-19_inbound_0,490009645W,2020-05-19 17:18:26,2020-05-19 16:56:15.707,inbound
5494_490009645W_2020-05-19_inbound_0,490009645W,2020-05-19 17:10:33,2020-05-19 16:56:15.707,inbound
7442_490003602N_2020-05-19_inbound_0,490003602N,2020-05-19 17:01:49,2020-05-19 16:56:16.2,inbound
6139_490003602N_2020-05-19_inbound_0,490003602N,2020-05-19 17:11:58,2020-05-19 16:56:16.2,inbound
7442_490014483E_2020-05-19_inbound_0,490014483E,2020-05-19 17:04:14,2020-05-19 17:03:30.001,inbound
